idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    447.74	       536	    105.81	1
1	    731.25	       536	    128.09	1
2	   1014.77	       536	    147.45	1
3	   1100.56	      1072	    139.77	1
4	   1186.36	      1608	    133.05	1
5	   1269.87	      1072	    137.54	1
6	   1355.67	      1072	    131.10	1
7	   1639.18	       536	    150.21	1
8	   1922.70	       536	    166.81	1
9	   2206.21	       804	    181.46	1
10	   2489.72	       536	    194.15	1
11	   2575.52	      1072	    180.63	1
12	   2661.31	      1340	    168.80	1
13	   2747.11	      1072	    158.45	1
14	   2832.90	      1608	    149.27	1
15	   2916.42	      1072	    151.74	1
16	   3199.93	       804	    168.15	1
17	   3285.73	      1072	    157.88	1
18	   3371.52	      1608	    148.89	1
19	   3455.03	      2144	    151.53	1
20	   3459.59	      2680	    143.59	1
21	   3540.83	      2144	    136.26	1
22	   3545.39	      2680	    130.48	1
23	   3626.62	      3216	    124.92	1
24	   3631.18	      2680	    120.68	1
25	   3635.74	      3216	    116.85	1
26	   3714.70	      2948	    113.24	1
27	   3719.26	      3484	    110.08	1
28	   3798.21	      3216	    116.70	1
29	   3802.77	      2948	    113.11	1
30	   3807.33	      2948	    109.97	1
31	   3886.29	      2680	    107.23	1
32	   3890.85	      2144	    104.82	1
33	   3969.80	      2680	    111.97	1
34	   3976.64	      2412	    108.72	1
35	   4053.32	      2412	    115.51	1
36	   4062.43	      1876	    111.82	1
37	   4145.95	      1608	    109.34	1
38	   4229.46	      2144	    116.55	1
39	   4234.02	      2680	    113.11	1
40	   4315.26	      3216	    109.72	1
41	   4319.82	      3484	    107.25	1
42	   4324.38	      4020	    105.10	1
43	   4401.05	      4288	    102.71	1
44	   4405.61	      3752	    100.62	1
45	   4410.17	      3484	     99.42	1
46	   4414.73	      4020	     98.24	1
47	   4489.13	      4556	     96.96	1
48	   4495.97	      4288	     95.47	1
49	   4500.53	      3752	     94.78	1
50	   4505.09	      4020	     94.31	1
51	   4574.92	      3484	     93.14	1
52	   4584.04	      4020	     92.63	1
53	   4588.60	      4020	     92.05	1
54	   4660.72	      4020	     91.29	1
55	   4667.56	      3752	     91.51	1
56	   4672.12	      4288	     91.07	1
57	   4744.23	      4020	     99.18	1
58	   4751.07	      3484	     98.16	1
59	   4755.63	      4020	     96.89	1
60	   4827.74	      4556	    104.15	1
61	   4836.86	      4824	    101.76	1
62	   4841.43	      4824	    100.29	1
63	   4845.98	      5092	     99.00	1
64	   4913.54	      5092	     97.38	1
65	   4920.38	      5360	     96.83	1
66	   4924.94	      5092	     95.73	1
67	   4929.50	      5628	     94.76	1
68	   4997.05	      5092	    101.92	1
69	   5001.61	      4556	    100.18	1
70	   5008.45	      4020	     98.65	1
71	   5013.01	      3752	     97.45	1
72	   5080.57	      3752	    104.14	1
73	   5091.97	      4288	    102.37	1
74	   5096.53	      3752	    100.58	1
75	   5164.08	      4020	    106.88	1
76	   5168.64	      3752	    104.52	1
77	   5180.04	      3752	    102.58	1
78	   5247.60	      3484	    108.63	1
79	   5252.16	      3216	    106.05	1
80	   5263.56	      2680	    104.67	1
81	   5333.39	      2412	    102.34	1
82	   5347.07	      2144	    101.42	1
83	   5419.19	      2144	     99.49	1
84	   5432.87	      2680	     97.68	1
85	   5504.98	      2412	     96.10	1
